H HEADER INFORMATION ------------------------------------------- 
H COMPANY : Impetro Operating, LLC
H FIELD   : Winkler County., TX (NAD 27)
H SITE    : Sec 03, Blk C-24 PSLS
H WELL    : Kudu A #2H
H WELLPATH: Wellbore #1
H DEPTHUNT: usft
H SURVDATE: 1/1/1990 
H---------------------------------------------------------------- 
H WELL INFORMATION 
H WELL EW MAP : 1072754.46
H WELL NS MAP : 852298.31
H DATUM ELEVN : 3018.00
H VSECT ANGLE : 166.60
H VSECT NORTH : 0.00
H VSECT EAST  : 0.00
H----------------------------------------------------------------
H SURVEY TYPE INFORMATION
H  122.00 - 19683.00 SURVEY #1 : MWD
H  19683.00 - 21261.62 PLAN #6A : MWD
H----------------------------------------------------------------
H SURVEY LIST
H MD      INC       AZI       TVD       NS        EW
0.00      0.00      0.00      0.00      0.00      0.00      
10.00     0.13      3.80      10.00     0.01      0.00      
20.00     0.26      3.80      20.00     0.05      0.00      
30.00     0.39      3.80      30.00     0.10      0.01      
40.00     0.52      3.80      40.00     0.18      0.01      
50.00     0.66      3.80      50.00     0.29      0.02      
60.00     0.79      3.80      60.00     0.41      0.03      
70.00     0.92      3.80      70.00     0.56      0.04      
80.00     1.05      3.80      80.00     0.73      0.05      
90.00     1.18      3.80      89.99     0.92      0.06      
100.00    1.31      3.80      99.99     1.14      0.08      
110.00    1.44      3.80      109.99    1.38      0.09      
120.00    1.57      3.80      119.98    1.64      0.11      
130.00    1.60      3.73      129.98    1.92      0.13      
140.00    1.59      3.64      139.98    2.20      0.15      
150.00    1.58      3.55      149.97    2.48      0.16      
160.00    1.58      3.46      159.97    2.75      0.18      
170.00    1.57      3.38      169.97    3.03      0.20      
180.00    1.57      3.28      179.96    3.30      0.21      
190.00    1.56      3.19      189.96    3.57      0.23      
200.00    1.56      3.10      199.95    3.84      0.24      
210.00    1.55      3.01      209.95    4.12      0.26      
220.00    1.55      2.92      219.95    4.39      0.27      
230.00    1.54      2.82      229.94    4.65      0.28      
240.00    1.54      2.73      239.94    4.92      0.30      
250.00    1.53      2.63      249.94    5.19      0.31      
260.00    1.52      2.54      259.93    5.46      0.32      
270.00    1.52      2.44      269.93    5.72      0.33      
280.00    1.51      2.35      279.93    5.99      0.34      
290.00    1.51      2.25      289.92    6.25      0.36      
300.00    1.50      2.15      299.92    6.51      0.37      
310.00    1.50      2.64      309.92    6.77      0.38      
320.00    1.49      3.71      319.91    7.03      0.39      
330.00    1.49      4.79      329.91    7.29      0.41      
340.00    1.49      5.88      339.91    7.55      0.43      
350.00    1.48      6.97      349.90    7.81      0.46      
360.00    1.48      8.07      359.90    8.07      0.50      
370.00    1.48      9.17      369.90    8.32      0.53      
380.00    1.48      10.27     379.89    8.57      0.58      
390.00    1.48      11.37     389.89    8.83      0.63      
400.00    1.48      12.48     399.89    9.08      0.68      
410.00    1.48      13.58     409.88    9.33      0.74      
420.00    1.48      14.68     419.88    9.58      0.80      
430.00    1.48      15.78     429.88    9.83      0.87      
440.00    1.48      16.88     439.87    10.08     0.94      
450.00    1.48      17.97     449.87    10.33     1.02      
460.00    1.49      19.06     459.87    10.57     1.10      
470.00    1.49      20.15     469.86    10.82     1.19      
480.00    1.50      21.23     479.86    11.06     1.28      
490.00    1.50      22.30     489.86    11.30     1.38      
500.00    1.45      22.24     499.85    11.54     1.47      
510.00    1.39      22.18     509.85    11.77     1.57      
520.00    1.34      22.11     519.85    11.99     1.66      
530.00    1.29      22.04     529.84    12.20     1.74      
540.00    1.23      21.95     539.84    12.41     1.83      
550.00    1.18      21.87     549.84    12.60     1.91      
560.00    1.13      21.77     559.84    12.79     1.98      
570.00    1.07      21.67     569.83    12.97     2.05      
580.00    1.02      21.55     579.83    13.14     2.12      
590.00    0.97      21.42     589.83    13.30     2.18      
600.00    0.91      21.27     599.83    13.45     2.24      
610.00    0.86      21.11     609.83    13.60     2.30      
620.00    0.81      20.93     619.83    13.73     2.35      
630.00    0.75      20.72     629.83    13.86     2.40      
640.00    0.70      20.48     639.83    13.98     2.44      
650.00    0.65      20.20     649.83    14.09     2.48      
660.00    0.60      19.92     659.82    14.19     2.52      
670.00    0.63      20.09     669.82    14.29     2.56      
680.00    0.65      20.25     679.82    14.40     2.60      
690.00    0.68      20.40     689.82    14.51     2.64      
700.00    0.70      20.54     699.82    14.62     2.68      
710.00    0.73      20.66     709.82    14.73     2.72      
720.00    0.75      20.78     719.82    14.86     2.77      
730.00    0.78      20.90     729.82    14.98     2.82      
740.00    0.80      21.00     739.82    15.11     2.87      
750.00    0.83      21.10     749.82    15.24     2.92      
760.00    0.85      21.19     759.82    15.38     2.97      
770.00    0.87      21.28     769.82    15.52     3.02      
780.00    0.90      21.37     779.81    15.66     3.08      
790.00    0.92      21.44     789.81    15.81     3.14      
800.00    0.95      21.52     799.81    15.96     3.20      
810.00    0.97      21.59     809.81    16.12     3.26      
820.00    1.00      21.66     819.81    16.28     3.32      
830.00    1.02      21.72     829.81    16.44     3.39      
840.00    1.05      21.78     839.81    16.61     3.45      
850.00    1.07      21.84     849.80    16.78     3.52      
860.00    1.10      21.89     859.80    16.96     3.59      
870.00    1.10      21.96     869.80    17.13     3.67      
880.00    1.09      22.02     879.80    17.31     3.74      
890.00    1.08      22.08     889.80    17.49     3.81      
900.00    1.08      22.15     899.80    17.66     3.88      
910.00    1.07      22.21     909.79    17.84     3.95      
920.00    1.07      22.28     919.79    18.01     4.02      
930.00    1.06      22.34     929.79    18.18     4.09      
940.00    1.06      22.41     939.79    18.35     4.16      
950.00    1.05      22.48     949.79    18.52     4.23      
960.00    1.05      22.54     959.78    18.69     4.30      
970.00    1.04      22.61     969.78    18.86     4.37      
980.00    1.04      22.68     979.78    19.03     4.44      
990.00    1.03      22.75     989.78    19.20     4.51      
1000.00   1.03      22.82     999.78    19.36     4.58      
1010.00   1.02      22.89     1009.78   19.53     4.65      
1020.00   1.02      22.96     1019.77   19.69     4.72      
1030.00   1.01      23.04     1029.77   19.85     4.79      
1040.00   1.01      23.11     1039.77   20.01     4.86      
1050.00   1.00      23.19     1049.77   20.18     4.93      
1060.00   0.99      23.36     1059.77   20.34     5.00      
1070.00   0.98      23.56     1069.77   20.49     5.07      
1080.00   0.97      23.76     1079.77   20.65     5.13      
1090.00   0.96      23.97     1089.76   20.80     5.20      
1100.00   0.95      24.18     1099.76   20.96     5.27      
1110.00   0.94      24.40     1109.76   21.11     5.34      
1120.00   0.93      24.62     1119.76   21.25     5.40      
1130.00   0.92      24.85     1129.76   21.40     5.47      
1140.00   0.91      25.08     1139.76   21.54     5.54      
1150.00   0.90      25.32     1149.76   21.69     5.61      
1160.00   0.89      25.56     1159.76   21.83     5.67      
1170.00   0.88      25.81     1169.75   21.97     5.74      
1180.00   0.86      26.07     1179.75   22.10     5.81      
1190.00   0.85      26.33     1189.75   22.24     5.87      
1200.00   0.84      26.60     1199.75   22.37     5.94      
1210.00   0.83      26.87     1209.75   22.50     6.00      
1220.00   0.82      27.15     1219.75   22.63     6.07      
1230.00   0.81      27.44     1229.75   22.76     6.14      
1240.00   0.80      27.74     1239.75   22.88     6.20      
1250.00   0.80      27.92     1249.75   23.00     6.27      
1260.00   0.80      28.08     1259.74   23.13     6.33      
1270.00   0.80      28.23     1269.74   23.25     6.40      
1280.00   0.80      28.38     1279.74   23.37     6.46      
1290.00   0.80      28.54     1289.74   23.50     6.53      
1300.00   0.80      28.69     1299.74   23.62     6.60      
1310.00   0.80      28.84     1309.74   23.74     6.66      
1320.00   0.80      29.00     1319.74   23.86     6.73      
1330.00   0.80      29.15     1329.74   23.98     6.80      
1340.00   0.80      29.30     1339.74   24.11     6.87      
1350.00   0.80      29.46     1349.74   24.23     6.94      
1360.00   0.80      29.61     1359.74   24.35     7.00      
1370.00   0.80      29.76     1369.73   24.47     7.07      
1380.00   0.80      29.92     1379.73   24.59     7.14      
1390.00   0.80      30.07     1389.73   24.71     7.21      
1400.00   0.80      30.22     1399.73   24.83     7.28      
1410.00   0.80      30.38     1409.73   24.95     7.35      
1420.00   0.80      30.53     1419.73   25.07     7.42      
1430.00   0.80      30.68     1429.73   25.19     7.50      
1440.00   0.79      31.62     1439.73   25.31     7.57      
1450.00   0.79      32.66     1449.73   25.43     7.64      
1460.00   0.78      33.71     1459.73   25.54     7.72      
1470.00   0.77      34.79     1469.72   25.66     7.79      
1480.00   0.76      35.89     1479.72   25.77     7.87      
1490.00   0.76      37.01     1489.72   25.87     7.95      
1500.00   0.75      38.15     1499.72   25.98     8.03      
1510.00   0.74      39.30     1509.72   26.08     8.11      
1520.00   0.74      40.48     1519.72   26.18     8.19      
1530.00   0.73      41.67     1529.72   26.27     8.28      
1540.00   0.73      42.88     1539.72   26.37     8.36      
1550.00   0.72      44.10     1549.72   26.46     8.45      
1560.00   0.72      45.35     1559.72   26.55     8.54      
1570.00   0.72      46.60     1569.72   26.64     8.63      
1580.00   0.71      47.87     1579.72   26.72     8.72      
1590.00   0.71      49.16     1589.71   26.80     8.81      
1600.00   0.71      50.45     1599.71   26.88     8.91      
1610.00   0.70      51.75     1609.71   26.96     9.00      
1620.00   0.70      53.07     1619.71   27.03     9.10      
1630.00   0.68      54.14     1629.71   27.11     9.20      
1640.00   0.66      55.23     1639.71   27.17     9.29      
1650.00   0.64      56.40     1649.71   27.24     9.39      
1660.00   0.62      57.64     1659.71   27.30     9.48      
1670.00   0.61      58.95     1669.71   27.36     9.57      
1680.00   0.59      60.34     1679.71   27.41     9.66      
1690.00   0.57      61.83     1689.71   27.46     9.75      
1700.00   0.55      63.41     1699.71   27.50     9.84      
1710.00   0.53      65.09     1709.71   27.54     9.92      
1720.00   0.52      66.89     1719.71   27.58     10.00     
1730.00   0.50      68.80     1729.71   27.61     10.09     
1740.00   0.49      70.83     1739.71   27.64     10.17     
1750.00   0.47      73.00     1749.71   27.67     10.25     
1760.00   0.46      75.30     1759.71   27.69     10.33     
1770.00   0.44      77.75     1769.70   27.71     10.40     
1780.00   0.43      80.34     1779.70   27.72     10.48     
1790.00   0.42      83.08     1789.70   27.74     10.55     
1800.00   0.41      85.97     1799.70   27.74     10.62     
1810.00   0.40      89.00     1809.70   27.75     10.69     
1820.00   0.40      87.92     1819.70   27.75     10.76     
1830.00   0.41      86.86     1829.70   27.75     10.83     
1840.00   0.41      85.82     1839.70   27.75     10.91     
1850.00   0.42      84.80     1849.70   27.76     10.98     
1860.00   0.42      83.81     1859.70   27.77     11.05     
1870.00   0.43      82.84     1869.70   27.78     11.12     
1880.00   0.43      81.89     1879.70   27.79     11.20     
1890.00   0.44      80.96     1889.70   27.80     11.27     
1900.00   0.44      80.06     1899.70   27.81     11.35     
1910.00   0.45      79.18     1909.70   27.82     11.43     
1920.00   0.45      78.32     1919.70   27.84     11.50     
1930.00   0.46      77.47     1929.70   27.86     11.58     
1940.00   0.46      76.65     1939.70   27.87     11.66     
1950.00   0.47      75.85     1949.70   27.89     11.74     
1960.00   0.48      75.07     1959.70   27.92     11.82     
1970.00   0.48      74.31     1969.70   27.94     11.90     
1980.00   0.49      73.56     1979.70   27.96     11.98     
1990.00   0.49      72.84     1989.70   27.99     12.06     
2000.00   0.50      72.40     1999.70   28.01     12.15     
2010.00   0.50      74.42     2009.70   28.04     12.23     
2020.00   0.50      76.43     2019.70   28.06     12.31     
2030.00   0.50      78.43     2029.70   28.08     12.40     
2040.00   0.51      80.42     2039.70   28.09     12.49     
2050.00   0.51      82.39     2049.70   28.11     12.57     
2060.00   0.51      84.33     2059.70   28.12     12.66     
2070.00   0.52      86.25     2069.70   28.12     12.75     
2080.00   0.52      88.14     2079.69   28.13     12.84     
2090.00   0.52      89.99     2089.69   28.13     12.93     
2100.00   0.53      91.80     2099.69   28.13     13.02     
2110.00   0.54      93.58     2109.69   28.12     13.12     
2120.00   0.54      95.31     2119.69   28.12     13.21     
2130.00   0.55      97.00     2129.69   28.11     13.31     
2140.00   0.56      98.64     2139.69   28.09     13.40     
2150.00   0.57      100.24    2149.69   28.08     13.50     
2160.00   0.57      101.80    2159.69   28.06     13.60     
2170.00   0.58      103.30    2169.69   28.04     13.70     
2180.00   0.59      104.76    2179.69   28.01     13.79     
2190.00   0.60      105.50    2189.69   27.98     13.89     
2200.00   0.60      103.50    2199.69   27.96     14.00     
2210.00   0.60      101.51    2209.69   27.94     14.10     
2220.00   0.60      99.51     2219.69   27.92     14.20     
2230.00   0.60      97.52     2229.69   27.90     14.30     
2240.00   0.60      95.54     2239.69   27.89     14.41     
2250.00   0.61      93.58     2249.69   27.88     14.51     
2260.00   0.61      91.64     2259.69   27.88     14.62     
2270.00   0.61      89.73     2269.69   27.87     14.73     
2280.00   0.62      87.84     2279.68   27.88     14.83     
2290.00   0.62      85.99     2289.68   27.88     14.94     
2300.00   0.63      84.17     2299.68   27.89     15.05     
2310.00   0.64      82.39     2309.68   27.90     15.16     
2320.00   0.65      80.65     2319.68   27.92     15.27     
2330.00   0.65      78.95     2329.68   27.94     15.38     
2340.00   0.66      77.29     2339.68   27.97     15.50     
2350.00   0.67      75.68     2349.68   27.99     15.61     
2360.00   0.68      74.11     2359.68   28.02     15.72     
2370.00   0.69      72.59     2369.68   28.06     15.84     
2380.00   0.70      71.57     2379.68   28.10     15.95     
2390.00   0.71      72.43     2389.68   28.13     16.07     
2400.00   0.72      73.26     2399.68   28.17     16.19     
2410.00   0.73      74.07     2409.68   28.21     16.31     
2420.00   0.74      74.86     2419.67   28.24     16.44     
2430.00   0.75      75.62     2429.67   28.27     16.56     
2440.00   0.76      76.37     2439.67   28.31     16.69     
2450.00   0.77      77.09     2449.67   28.34     16.82     
2460.00   0.78      77.80     2459.67   28.37     16.95     
2470.00   0.79      78.49     2469.67   28.39     17.09     
2480.00   0.80      79.16     2479.67   28.42     17.22     
2490.00   0.81      79.81     2489.67   28.45     17.36     
2500.00   0.82      80.45     2499.67   28.47     17.50     
2510.00   0.84      81.07     2509.67   28.49     17.65     
2520.00   0.85      81.67     2519.67   28.52     17.79     
2530.00   0.86      82.26     2529.66   28.54     17.94     
2540.00   0.87      82.83     2539.66   28.56     18.09     
2550.00   0.88      83.39     2549.66   28.57     18.24     
2560.00   0.89      83.93     2559.66   28.59     18.39     
2570.00   0.90      84.00     2569.66   28.61     18.55     
2580.00   0.89      82.97     2579.66   28.63     18.70     
2590.00   0.88      81.92     2589.66   28.65     18.86     
2600.00   0.87      80.85     2599.66   28.67     19.01     
2610.00   0.87      79.77     2609.65   28.69     19.16     
2620.00   0.86      78.67     2619.65   28.72     19.31     
2630.00   0.85      77.55     2629.65   28.75     19.45     
2640.00   0.85      76.41     2639.65   28.79     19.60     
2650.00   0.84      75.25     2649.65   28.82     19.74     
2660.00   0.84      74.08     2659.65   28.86     19.88     
2670.00   0.83      72.90     2669.65   28.90     20.02     
2680.00   0.82      71.70     2679.65   28.95     20.16     
2690.00   0.82      70.49     2689.65   28.99     20.29     
2700.00   0.82      69.26     2699.65   29.04     20.43     
2710.00   0.81      68.02     2709.64   29.09     20.56     
2720.00   0.81      66.77     2719.64   29.15     20.69     
2730.00   0.81      65.51     2729.64   29.21     20.82     
2740.00   0.80      64.24     2739.64   29.27     20.95     
2750.00   0.80      62.97     2749.64   29.33     21.07     
2760.00   0.80      62.20     2759.64   29.39     21.20     
2770.00   0.80      62.60     2769.64   29.46     21.32     
2780.00   0.80      62.89     2779.64   29.52     21.44     
2790.00   0.80      63.17     2789.64   29.58     21.57     
2800.00   0.80      63.46     2799.64   29.65     21.69     
2810.00   0.80      63.74     2809.63   29.71     21.82     
2820.00   0.80      64.03     2819.63   29.77     21.94     
2830.00   0.80      64.31     2829.63   29.83     22.07     
2840.00   0.80      64.60     2839.63   29.89     22.19     
2850.00   0.80      64.89     2849.63   29.95     22.32     
2860.00   0.80      65.17     2859.63   30.01     22.45     
2870.00   0.80      65.46     2869.63   30.07     22.57     
2880.00   0.80      65.74     2879.63   30.12     22.70     
2890.00   0.80      66.03     2889.63   30.18     22.83     
2900.00   0.80      66.32     2899.63   30.24     22.96     
2910.00   0.80      66.60     2909.62   30.29     23.08     
2920.00   0.80      66.89     2919.62   30.35     23.21     
2930.00   0.80      67.17     2929.62   30.40     23.34     
2940.00   0.80      67.46     2939.62   30.46     23.47     
2950.00   0.82      68.57     2949.62   30.51     23.60     
2960.00   0.86      70.38     2959.62   30.56     23.74     
2970.00   0.90      72.02     2969.62   30.61     23.88     
2980.00   0.94      73.52     2979.62   30.66     24.04     
2990.00   0.98      74.90     2989.62   30.70     24.20     
3000.00   1.03      76.16     2999.61   30.75     24.37     
3010.00   1.07      77.32     3009.61   30.79     24.54     
3020.00   1.11      78.39     3019.61   30.83     24.73     
3030.00   1.16      79.38     3029.61   30.87     24.93     
3040.00   1.20      80.30     3039.61   30.90     25.13     
3050.00   1.21      81.00     3049.60   30.94     25.34     
3060.00   1.22      81.69     3059.60   30.97     25.54     
3070.00   1.23      82.37     3069.60   31.00     25.76     
3080.00   1.24      83.03     3079.60   31.03     25.97     
3090.00   1.25      83.69     3089.60   31.05     26.19     
3100.00   1.26      84.33     3099.59   31.08     26.40     
3110.00   1.27      84.96     3109.59   31.10     26.62     
3120.00   1.28      85.59     3119.59   31.11     26.85     
3130.00   1.29      86.20     3129.59   31.13     27.07     
3140.00   1.30      85.95     3139.58   31.15     27.30     
3150.00   1.30      84.85     3149.58   31.16     27.52     
3160.00   1.30      83.74     3159.58   31.19     27.75     
3170.00   1.29      82.64     3169.58   31.21     27.97     
3180.00   1.29      81.53     3179.57   31.24     28.20     
3190.00   1.29      80.42     3189.57   31.28     28.42     
3200.00   1.30      79.31     3199.57   31.32     28.64     
3210.00   1.30      78.20     3209.56   31.36     28.86     
3220.00   1.30      77.10     3219.56   31.41     29.08     
3230.00   1.30      76.00     3229.56   31.46     29.31     
3240.00   1.30      77.55     3239.56   31.52     29.53     
3250.00   1.29      79.10     3249.55   31.56     29.75     
3260.00   1.29      80.66     3259.55   31.60     29.97     
3270.00   1.29      82.23     3269.55   31.64     30.19     
3280.00   1.29      83.79     3279.55   31.66     30.41     
3290.00   1.29      85.36     3289.54   31.68     30.64     
3300.00   1.29      86.92     3299.54   31.70     30.86     
3310.00   1.29      88.48     3309.54   31.71     31.09     
3320.00   1.30      90.03     3319.54   31.71     31.31     
3330.00   1.29      90.43     3329.53   31.71     31.54     
3340.00   1.27      89.68     3339.53   31.71     31.76     
3350.00   1.24      88.90     3349.53   31.71     31.98     
3360.00   1.22      88.09     3359.53   31.72     32.20     
3370.00   1.20      87.26     3369.52   31.73     32.41     
3380.00   1.18      86.39     3379.52   31.74     32.62     
3390.00   1.16      85.49     3389.52   31.75     32.82     
3400.00   1.14      84.56     3399.52   31.77     33.02     
3410.00   1.12      83.60     3409.52   31.79     33.22     
3420.00   1.10      82.76     3419.51   31.81     33.41     
3430.00   1.12      83.30     3429.51   31.84     33.60     
3440.00   1.14      83.83     3439.51   31.86     33.80     
