Impetro Operating, LLC
Kudu A #2H - Plan #4

Winkler County., TX (NAD 27)
Sec 03, Blk C-24 PSLS

 Measured                     Vertical                               Vertical    Dogleg
   Depth     Incl.    Azim.     Depth      Northings      Eastings    Section     Rate
   (ft)                         (ft)         (ft)            (ft)         (ft)   (100ft) 

 15432.00   88.800  160.300   12873.75     2729.09 S      354.23 E    2736.90     0.00
 15490.00   88.800  160.300   12874.97     2783.68 S      373.78 E    2794.54     0.00
 15500.00   88.802  160.512   12875.17     2793.10 S      377.13 E    2804.48     2.12
 15600.00   88.825  162.630   12877.25     2887.95 S      408.74 E    2904.07     2.12
 15700.00   88.849  164.748   12879.28     2983.90 S      436.82 E    3003.91     2.12
 15800.00   88.875  166.867   12881.26     3080.82 S      461.33 E    3103.88     2.12
 15900.00   88.902  168.985   12883.20     3178.58 S      482.24 E    3203.82     2.12
 15918.28   88.907  169.372   12883.55     3196.54 S      485.67 E    3222.08     2.12
 15941.75   88.907  169.372   12884.00     3219.60 S      490.00 E    3245.52     0.00
 16000.00   88.875  167.568   12885.13     3276.66 S      501.64 E    3303.73     3.10
 16100.00   88.824  164.471   12887.14     3373.67 S      525.79 E    3403.69     3.10
 16129.64   88.809  163.553   12887.75     3402.15 S      533.95 E    3433.29     3.10
 16189.86   88.809  163.553   12889.00     3459.90 S      551.00 E    3493.42     0.00
 16200.00   89.010  163.579   12889.19     3469.62 S      553.87 E    3503.54     2.00
 16229.81   89.601  163.655   12889.55     3498.22 S      562.27 E    3533.30     2.00
 16300.00   89.601  163.655   12890.04     3565.57 S      582.03 E    3603.40     0.00
 16400.00   89.601  163.655   12890.74     3661.53 S      610.17 E    3703.27     0.00
 16437.59   89.601  163.655   12891.00     3697.60 S      620.75 E    3740.81     0.00
 16440.79   89.537  163.655   12891.02     3700.67 S      621.65 E    3744.00     2.00
 16500.00   89.537  163.655   12891.50     3757.48 S      638.31 E    3803.13     0.00
 16600.00   89.537  163.655   12892.31     3853.44 S      666.45 E    3902.99     0.00
 16685.52   89.537  163.655   12893.00     3935.50 S      690.52 E    3988.40     0.00
 16709.85   90.024  163.655   12893.09     3958.84 S      697.37 E    4012.69     2.00
 16800.00   90.024  163.655   12893.06     4045.35 S      722.74 E    4102.73     0.00
 16900.00   90.024  163.655   12893.01     4141.31 S      750.88 E    4202.59     0.00
 16933.55   90.024  163.655   12893.00     4173.50 S      760.32 E    4236.10     0.00
 16956.53   90.483  163.656   12892.90     4195.55 S      766.79 E    4259.05     2.00
 17000.00   90.483  163.656   12892.53     4237.27 S      779.02 E    4302.46     0.00
 17100.00   90.483  163.656   12891.69     4333.22 S      807.16 E    4402.32     0.00
 17181.48   90.483  163.656   12891.00     4411.41 S      830.09 E    4483.70     0.00
 17204.60   90.946  163.656   12890.71     4433.59 S      836.60 E    4506.79     2.00
 17300.00   90.946  163.656   12889.14     4525.12 S      863.44 E    4602.04     0.00
 17400.00   90.946  163.656   12887.49     4621.07 S      891.57 E    4701.90     0.00
 17429.45   90.946  163.656   12887.00     4649.32 S      899.86 E    4731.30     0.00
 17440.13   91.159  163.655   12886.80     4659.57 S      902.87 E    4741.97     2.00
 17500.00   91.159  163.655   12885.59     4717.01 S      919.71 E    4801.75     0.00
 17600.00   91.159  163.655   12883.57     4812.95 S      947.85 E    4901.59     0.00
 17677.52   91.159  163.655   12882.00     4887.32 S      969.66 E    4979.00     0.00
 17689.13   91.392  163.654   12881.74     4898.46 S      972.93 E    4990.59     2.00
 17700.00   91.392  163.654   12881.48     4908.88 S      975.98 E    5001.44     0.00
 17800.00   91.392  163.654   12879.05     5004.81 S     1004.12 E    5101.28     0.00
 17900.00   91.392  163.654   12876.62     5100.74 S     1032.26 E    5201.11     0.00
 17925.54   91.392  163.654   12876.00     5125.24 S     1039.44 E    5226.61     0.00
 17937.07   91.622  163.654   12875.70     5136.30 S     1042.68 E    5238.12     2.00
 18000.00   91.622  163.654   12873.92     5196.67 S     1060.39 E    5300.95     0.00
 18100.00   91.622  163.654   12871.08     5292.59 S     1088.52 E    5400.77     0.00
 18173.61   91.622  163.654   12869.00     5363.19 S     1109.23 E    5474.25     0.00
 18173.87   91.617  163.655   12868.99     5363.44 S     1109.30 E    5474.52     2.00
 18200.00   91.617  163.655   12868.26     5388.51 S     1116.65 E    5500.60     0.00
 18300.00   91.617  163.655   12865.43     5484.43 S     1144.79 E    5600.43     0.00
 18400.00   91.617  163.655   12862.61     5580.35 S     1172.92 E    5700.26     0.00
 18421.66   91.617  163.655   12862.00     5601.12 S     1179.01 E    5721.88     0.00
 18445.92   92.102  163.654   12861.21     5624.39 S     1185.83 E    5746.09     2.00
 18500.00   92.102  163.654   12859.23     5676.25 S     1201.04 E    5800.07     0.00
 18600.00   92.102  163.654   12855.56     5772.14 S     1229.17 E    5899.87     0.00
 18669.80   92.102  163.654   12853.00     5839.07 S     1248.80 E    5969.52     0.00
 18682.86   91.841  163.653   12852.55     5851.60 S     1252.48 E    5982.56     2.00
 18700.00   91.841  163.653   12852.00     5868.04 S     1257.30 E    5999.67     0.00
 18800.00   91.841  163.653   12848.79     5963.95 S     1285.43 E    6099.49     0.00
 18900.00   91.841  163.653   12845.57     6059.85 S     1313.56 E    6199.30     0.00
 18917.89   91.841  163.653   12845.00     6077.01 S     1318.59 E    6217.16     0.00
 18930.07   92.085  163.654   12844.58     6088.69 S     1322.02 E    6229.31     2.00
 19000.00   92.085  163.654   12842.04     6155.75 S     1341.68 E    6299.11     0.00
 19100.00   92.085  163.654   12838.40     6251.65 S     1369.81 E    6398.91     0.00
 19166.03   92.085  163.654   12836.00     6314.96 S     1388.38 E    6464.80     0.00
 19166.32   92.079  163.652   12835.99     6315.25 S     1388.46 E    6465.10     2.00
 19200.00   92.079  163.652   12834.77     6347.54 S     1397.94 E    6498.71     0.00
 19300.00   92.079  163.652   12831.14     6443.43 S     1426.06 E    6598.51     0.00
 19400.00   92.079  163.652   12827.51     6539.33 S     1454.19 E    6698.31     0.00
 19414.14   92.079  163.652   12827.00     6552.89 S     1458.17 E    6712.43     0.00
 19425.97   91.842  163.654   12826.60     6564.23 S     1461.50 E    6724.23     2.00
 19500.00   91.842  163.654   12824.22     6635.23 S     1482.32 E    6798.13     0.00
 19600.00   91.842  163.654   12821.00     6731.14 S     1510.45 E    6897.94     0.00
 19662.25   91.842  163.654   12819.00     6790.84 S     1527.96 E    6960.07     0.00
 19673.77   91.612  163.653   12818.65     6801.89 S     1531.20 E    6971.58     2.00
 19700.00   91.612  163.653   12817.91     6827.05 S     1538.58 E    6997.76     0.00
 19800.00   91.612  163.653   12815.10     6922.97 S     1566.72 E    7097.59     0.00
 19900.00   91.612  163.653   12812.29     7018.89 S     1594.85 E    7197.42     0.00
 19910.31   91.612  163.653   12812.00     7028.78 S     1597.75 E    7207.71     0.00
 19921.85   91.381  163.653   12811.70     7039.86 S     1601.00 E    7219.23     2.00
 20000.00   91.381  163.653   12809.82     7114.82 S     1622.99 E    7297.25     0.00
 20100.00   91.381  163.653   12807.41     7210.75 S     1651.12 E    7397.09     0.00
 20158.34   91.381  163.653   12806.00     7266.72 S     1667.54 E    7455.34     0.00
 20169.89   91.150  163.653   12805.75     7277.80 S     1670.79 E    7466.87     2.00
 20200.00   91.150  163.653   12805.14     7306.68 S     1679.26 E    7496.93     0.00
 20300.00   91.150  163.653   12803.13     7402.62 S     1707.40 E    7596.78     0.00
 20406.36   91.150  163.653   12801.00     7504.66 S     1737.33 E    7702.98     0.00
 20417.91   90.919  163.654   12800.79     7515.74 S     1740.58 E    7714.51     2.00
 20500.00   90.919  163.654   12799.48     7594.50 S     1763.68 E    7796.48     0.00
 20600.00   90.919  163.654   12797.87     7690.45 S     1791.82 E    7896.34     0.00
 20654.36   90.919  163.654   12797.00     7742.61 S     1807.12 E    7950.62     0.00
 20654.64   90.924  163.653   12797.00     7742.87 S     1807.20 E    7950.90     2.00
 20700.00   90.924  163.653   12796.26     7786.39 S     1819.96 E    7996.19     0.00
 20800.00   90.924  163.653   12794.65     7882.34 S     1848.10 E    8096.05     0.00
 20902.36   90.924  163.653   12793.00     7980.55 S     1876.91 E    8198.26     0.00
 20914.19   91.161  163.653   12792.78     7991.90 S     1880.24 E    8210.07     2.00
 21000.00   91.161  163.653   12791.05     8074.22 S     1904.39 E    8295.75     0.00
 21100.00   91.161  163.653   12789.02     8170.16 S     1932.52 E    8395.60     0.00
 21150.38   91.161  163.653   12788.00     8218.49 S     1946.70 E    8445.89     0.00
 21185.36   90.461  163.656   12787.50     8252.06 S     1956.55 E    8480.83     2.00
 21200.00   90.461  163.656   12787.39     8266.11 S     1960.66 E    8495.45     0.00
 21248.10   90.461  163.656   12787.00     8312.26 S     1974.20 E    8543.48     0.00
 21248.20   90.461  163.656   12787.00     8312.35 S     1974.23 E    8543.58     0.00
 21300.00   90.461  163.656   12786.58     8362.06 S     1988.80 E    8595.31     0.00
 21338.78   90.461  163.656   12786.27     8399.27 S     1999.72 E    8634.04     0.00


All data are in feet unless otherwise stated. Directions and coordinates are relative to Grid North.
Vertical depths are relative to KB=30.  Northings and Eastings are relative to Well.

The Dogleg Severity is in Degrees per 100 feet.
Vertical Section is from Slot and calculated along an Azimuth of 166.604 (Grid).

Coordinate System is NAD 1927 (NADCON CONUS) US State Plane 1927 (Exact solution), Texas Central 4203.
Central meridian is -100.333°.
Grid Convergence at Surface is -1.540°.

Based upon Minimum Curvature type calculations, at a Measured Depth of 21338.78ft.,
the Bottom Hole Displacement is 8634.04ft., in the Direction of 166.604° (Grid).

