H HEADER INFORMATION ------------------------------------------- 
H COMPANY : OXY, Texas, USA Inc
H FIELD   : Reeves County, TX
H SITE    : Weinert State
H WELL    : Weinert State 34-39-1S 81H
H WELLPATH: Wellbore #1
H USWN:           (PPDM UNITED STATES WELL NUMBER / API-10)
H DEPTH UNIT: usft
H SURVEY PROCESSED AND EXPORTED:    10-Jun-2019
H SPUD DATE: 01-Jan-1990
H LAST SURVEY DATE:  01-Jan-1990
H---------------------------------------------------------------------------
H WELL SURFACE LOCATION (SLOC) INFORMATION 
H WELL SLOC EASTING (+E/-W) MAP : 1035893.910  usft
H WELL SLOC NORTHING (+N/-S) MAP : 582004.170  usft
H WELL SLOC LATITUDE (DEG-MIN-SEC): 31° 13' 48.721 N
H WELL SLOC LONGITUDE (DEG-MIN-SEC): 103° 25' 6.135 W
H WELL SLOC LATITUDE (DECIMAL DEGREES): 31.23020024
H WELL SLOC LONGITUDE (DECIMAL DEGREES): -103.41837086
H---------------------------------------------------------------------------
H WELL REFERENCE INFORMATION 
H COORDINATE REFERENCE SYSTEM (CRS): NAD 1927 (NADCON CONUS) US State Plane 1927 (Exact solution), Texas Central 4203
H ZERO MEASURED DEPTH ELEVATION ABOVE THE VERTICAL REFERENCE DATUM 
H ZMDE TO VRD (DATUM ELEVATION): 2683.50  usft
H VERTICAL REFERENCE DATUM (VRD):  Mean Sea Level                    
H VERTICAL SECTION ANGLE : 183.63° 
H AZIMUTH NORTH REFERENCE: Grid
H---------------------------------------------------------------------------
H WELL BOTTOM HOLE LOCATION (BHL) INFORMATION 
H WELL BHL EASTING (+E/-W) MAP : 1035201.790  usft
H WELL BHL NORTHING (+N/-S) MAP : 571079.965  usft
H WELL BHL LATITUDE (DEG-MIN-SEC): 31° 12' 0.443 N
H WELL BHL LONGITUDE (DEG-MIN-SEC): 103° 25' 10.613 W
H WELL BHL LATITUDE (DECIMAL DEGREES): 31.20006060
H WELL BHL LONGITUDE (DECIMAL DEGREES): -103.41940801
H TOTAL MEASURED DEPTH:  21006.04ft
H TOTAL CLOSURE DISTANCE (BOTTOM HOLE DISPLACEMENT OR TOTAL DEPARTURE):  10946.11ft
H---------------------------------------------------------------------------
H SURVEY TYPE INFORMATION
H  0.00 - 21006.04 PLAN3 : A010MB_MWD+IFR1+SAG+MS
H---------------------------------------------------------------------------
H SURVEY LISTING
        MD       INC       AZI    TVDrkb     TVDss     +N/-S     +E/-W DOGLEG   CL-DIST    CL@AZIM       VSEC INTERVAL    NORTHING(Y)    EASTING(X)             LATTITUDE                    LONGITUDE                 COMMENT -  TOOL
      0.00      0.00      0.00      0.00  -2683.50      0.00      0.00   0.00      0.00       0.00       0.00     0.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	                     UNDEFINED
    100.00      0.00      0.00    100.00  -2583.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
    200.00      0.00      0.00    200.00  -2483.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
    300.00      0.00      0.00    300.00  -2383.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
    400.00      0.00      0.00    400.00  -2283.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
    500.00      0.00      0.00    500.00  -2183.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
    600.00      0.00      0.00    600.00  -2083.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
    700.00      0.00      0.00    700.00  -1983.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
    800.00      0.00      0.00    800.00  -1883.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
    900.00      0.00      0.00    900.00  -1783.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
   1000.00      0.00      0.00   1000.00  -1683.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
   1100.00      0.00      0.00   1100.00  -1583.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
   1200.00      0.00      0.00   1200.00  -1483.50      0.00      0.00   0.00      0.00       0.00       0.00   100.00     582004.170   1035893.910      31° 13' 48.721 N	      103° 25' 6.135 W	    A010Mb_MWD+IFR1+SAG+MS (1)
